classification	source_id	bucket	source_type	record_path	note	canonical_url
captured_and_linked	src_pap_904b76036b1c	verification_completion	paper	research/intake/records/src_pap_904b76036b1c.json	explicit match -> src_pap_dd4ca3841fb4	https://arxiv.org/abs/2601.11868
captured_and_linked	src_pmt_f4ab21a8c943	verification_completion	engineering_writeup	research/intake/records/src_pmt_f4ab21a8c943.json	explicit match -> src_doc_9fa759b72385	https://anthropic.com/engineering/harness-design-long-running-apps
not_captured	src_cod_18ba360eb4b2	verification_completion	repo	research/intake/records/src_cod_18ba360eb4b2.json	no local capture in research/sources	https://github.com/openai/openai-agents-python/blob/main/.agents/skills/code-change-verification/SKILL.md
not_captured	src_cod_87b73c75d11a	policy_program	repo	research/intake/records/src_cod_87b73c75d11a.json	no local capture in research/sources	https://github.com/openai/codex/blob/main/codex-rs/core/gpt-5.1-codex-max_prompt.md
not_captured	src_cod_c717c148e387	context_engineering	repo	research/intake/records/src_cod_c717c148e387.json	no local capture in research/sources	https://github.com/anthropics/claude-code/blob/v2.1.81/CHANGELOG.md
not_captured	src_doc_0350cd50a86c	context_engineering	official_doc	research/intake/records/src_doc_0350cd50a86c.json	no local capture in research/sources	https://platform.openai.com/docs/api-reference/responses/compact
not_captured	src_doc_1069e67c4fe5	context_engineering	engineering_writeup	research/intake/records/src_doc_1069e67c4fe5.json	no local capture in research/sources	https://developers.googleblog.com/architecting-efficient-context-aware-multi-agent-framework-for-production
not_captured	src_doc_118b78fe9c63	state_management	official_doc	research/intake/records/src_doc_118b78fe9c63.json	no local capture in research/sources	https://learn.microsoft.com/en-us/agent-framework/workflows/checkpoints
not_captured	src_doc_1a2b3c4d5e6f	state_management	official_doc	research/intake/records/src_doc_1a2b3c4d5e6f.json	no local capture in research/sources	https://github.com/All-Hands-AI/OpenHands/blob/main/docs/architecture/v1_design.md
not_captured	src_doc_1eba12a4a8fa	agent_architecture	engineering_writeup	research/intake/records/src_doc_1eba12a4a8fa.json	no local capture in research/sources	https://anthropic.com/engineering/building-c-compiler
not_captured	src_doc_20a930aebfd2	agent_architecture	engineering_writeup	research/intake/records/src_doc_20a930aebfd2.json	no local capture in research/sources	https://anthropic.com/research/long-running-Claude
not_captured	src_doc_29494193a1c5	policy_program	official_doc	research/intake/records/src_doc_29494193a1c5.json	no local capture in research/sources	https://developer.android.com/studio/gemini/agent-files
not_captured	src_doc_384400cfab11	tooling_tool_gateway	official_doc	research/intake/records/src_doc_384400cfab11.json	no local capture in research/sources	https://platform.openai.com/docs/guides/function-calling
not_captured	src_doc_384b02931a01	tooling_tool_gateway	official_doc	research/intake/records/src_doc_384b02931a01.json	no local capture in research/sources	https://modelcontextprotocol.io/specification/2025-11-25/server/logging
not_captured	src_doc_3d68ad8e1324	state_management	official_doc	research/intake/records/src_doc_3d68ad8e1324.json	no local capture in research/sources	https://code.claude.com/docs/en/changelog
not_captured	src_doc_54d4071243dd	context_engineering	official_doc	research/intake/records/src_doc_54d4071243dd.json	no local capture in research/sources	https://platform.claude.com/docs/en/build-with-claude/compaction
not_captured	src_doc_5c76d18b4059	tooling_tool_gateway	official_doc	research/intake/records/src_doc_5c76d18b4059.json	no local capture in research/sources	https://modelcontextprotocol.io/specification/2025-11-25/client/roots
not_captured	src_doc_64510e405cf6	context_engineering	engineering_writeup	research/intake/records/src_doc_64510e405cf6.json	no local capture in research/sources	https://developers.openai.com/blog/skills-shell-tips
not_captured	src_doc_6aeb8c8aa67c	state_management	engineering_writeup	research/intake/records/src_doc_6aeb8c8aa67c.json	no local capture in research/sources	https://aws.amazon.com/blogs/database/build-durable-ai-agents-with-langgraph-and-amazon-dynamodb
